label,message
ham,Hey there! Are we still meeting today?
spam,Congrats! You've won a free iPhone. Click here to claim.
ham,I'll call you back in 10 minutes.
spam,You have been selected for a $1000 gift card. Act now!
ham,Let's grab lunch tomorrow?
spam,URGENT: Your account is suspended. Login immediately.
ham,Please send me the report by EOD.
spam,Get cheap loans at 0% interest. Limited time offer!
ham,Thanks for your help yesterday!
spam,Win a brand new car! Reply YES to enter.
ham,Hey are we still on for tonight?
spam,You have been selected for a cash reward! Click the link now.
ham,Don't forget to submit the assignment.
spam,Exclusive deal! Buy one get one free today only.
ham,Happy birthday! Hope you have a great day.
ham,Can you help me with the math homework?
spam,Lowest prices on medicines. Order now without prescription.
ham,I'll be there by 7pm.
spam,You’ve been chosen for a free cruise to the Bahamas.
ham,Let me know if you need anything from the store.
spam,URGENT! Update your bank details to avoid suspension.
ham,Thanks for the invite. I’ll join the meeting.
spam,Claim your free reward points now!
