label,message
ham,Can you help me with the math homework?
spam,"Dear user, get rich quick with our crypto system!"
ham,Your order has been shipped and will arrive soon.
spam,Free entry to the VIP club for today only.
ham,Lunch at the new cafe?
spam,Claim your free reward points now!
ham,I'll be there by 7pm.
spam,This message is from the IRS. Pay now or face arrest.
spam,Congratulations! You’re a lucky winner of an iPad.
ham,Meeting postponed to 3 PM.
spam,Exclusive deal! Buy one get one free today only.
spam,"You've won a lottery of $5,000. Claim it now."
ham,"Hey, are we still on for tonight?"
ham,Don't forget to submit the assignment.
ham,Can you help me with the math homework?
spam,Earn money while you sleep. Start today!
spam,"Dear user, get rich quick with our crypto system!"
spam,Lowest prices on medicines. Order now without prescription.
ham,Happy birthday! Hope you have a great day.
ham,Let’s finish the project today.
spam,Act fast! Only 2 hours left to claim your prize.
spam,Exclusive deal! Buy one get one free today only.
spam,Congratulations! You’re a lucky winner of an iPad.
spam,Lowest prices on medicines. Order now without prescription.
spam,Exclusive deal! Buy one get one free today only.
spam,Exclusive deal! Buy one get one free today only.
spam,You’ve been chosen for a free cruise to the Bahamas.
spam,Your Netflix account has been suspended. Login to fix.
spam,Free entry to the VIP club for today only.
spam,Act fast! Only 2 hours left to claim your prize.
spam,Lowest prices on medicines. Order now without prescription.
ham,Can we reschedule our call to tomorrow?
ham,Don't forget to submit the assignment.
spam,This is your final notice. Pay your dues immediately.
ham,Lunch at the new cafe?
spam,URGENT! Update your bank details to avoid suspension.
spam,This is your final notice. Pay your dues immediately.
spam,Your Netflix account has been suspended. Login to fix.
ham,Looking forward to our weekend trip!
spam,This is your final notice. Pay your dues immediately.
spam,Act fast! Only 2 hours left to claim your prize.
spam,You have 1 unread message. Click to read.
ham,Thanks for the invite. I’ll join the meeting.
spam,URGENT! Update your bank details to avoid suspension.
ham,I’ll email the documents shortly.
spam,You’ve been chosen for a free cruise to the Bahamas.
spam,Free entry to the VIP club for today only.
spam,Exclusive deal! Buy one get one free today only.
ham,I'll be there by 7pm.
ham,I'll be there by 7pm.
ham,"Hey, are we still on for tonight?"
spam,You've been pre-approved for a credit card. Apply now.
ham,Happy birthday! Hope you have a great day.
spam,Complete this survey and win rewards.
ham,Happy birthday! Hope you have a great day.
spam,"Dear user, get rich quick with our crypto system!"
spam,This is your final notice. Pay your dues immediately.
ham,Meeting postponed to 3 PM.
spam,Your Netflix account has been suspended. Login to fix.
spam,Win a new iPhone by entering our contest.
ham,Looking forward to our weekend trip!
ham,Call me when you reach home.
ham,Happy birthday! Hope you have a great day.
spam,Exclusive deal! Buy one get one free today only.
spam,Exclusive deal! Buy one get one free today only.
ham,I'll bring snacks for the movie night.
spam,"You've won a lottery of $5,000. Claim it now."
ham,Let me know if you need anything from the store.
spam,Win a new iPhone by entering our contest.
ham,Let’s finish the project today.
ham,Can you help me with the math homework?
ham,Let’s finish the project today.
ham,Where are we meeting for lunch?
ham,I'll bring snacks for the movie night.
ham,Let’s finish the project today.
ham,Meeting postponed to 3 PM.
ham,I'll text you the address.
spam,You’ve been chosen for a free cruise to the Bahamas.
ham,Lunch at the new cafe?
ham,Meeting postponed to 3 PM.
spam,Earn money while you sleep. Start today!
ham,Don't forget to submit the assignment.
spam,You’ve been chosen for a free cruise to the Bahamas.
spam,"Dear user, get rich quick with our crypto system!"
ham,Where are we meeting for lunch?
ham,I'll text you the address.
ham,Can you share the slides?
spam,You've been pre-approved for a credit card. Apply now.
spam,Lowest prices on medicines. Order now without prescription.
spam,"Dear user, get rich quick with our crypto system!"
spam,Free entry to the VIP club for today only.
ham,Meeting postponed to 3 PM.
ham,Let’s finish the project today.
ham,Call me when you reach home.
ham,Don't forget to submit the assignment.
ham,Let me know if you need anything from the store.
spam,Claim your free reward points now!
ham,Can you help me with the math homework?
spam,Earn money while you sleep. Start today!
ham,Can we reschedule our call to tomorrow?
spam,Free entry to the VIP club for today only.
ham,Can you help me with the math homework?
ham,Can you share the slides?
ham,Happy birthday! Hope you have a great day.
ham,Thanks for the invite. I’ll join the meeting.
spam,You've been pre-approved for a credit card. Apply now.
ham,Call me when you reach home.
spam,Complete this survey and win rewards.
spam,Exclusive deal! Buy one get one free today only.
spam,You’ve been chosen for a free cruise to the Bahamas.
ham,Your order has been shipped and will arrive soon.
spam,You have 1 unread message. Click to read.
ham,Can you share the slides?
spam,Lowest prices on medicines. Order now without prescription.
spam,Win a new iPhone by entering our contest.
ham,"Hey, are we still on for tonight?"
spam,Free entry to the VIP club for today only.
ham,"Hey, are we still on for tonight?"
spam,Your Netflix account has been suspended. Login to fix.
spam,URGENT! Update your bank details to avoid suspension.
ham,I'll bring snacks for the movie night.
spam,You've been pre-approved for a credit card. Apply now.
ham,I'll bring snacks for the movie night.
ham,Are you free to talk right now?
spam,This is your final notice. Pay your dues immediately.
ham,Don't forget to submit the assignment.
ham,Can you help me with the math homework?
ham,I’ll email the documents shortly.
spam,Free entry to the VIP club for today only.
ham,Are you free to talk right now?
spam,Your Netflix account has been suspended. Login to fix.
ham,Can you help me with the math homework?
spam,Complete this survey and win rewards.
ham,Can we reschedule our call to tomorrow?
spam,This message is from the IRS. Pay now or face arrest.
ham,Looking forward to our weekend trip!
spam,Work from home and earn $500/day. Join now.
ham,Looking forward to our weekend trip!
spam,This is your final notice. Pay your dues immediately.
spam,Your Netflix account has been suspended. Login to fix.
spam,Exclusive deal! Buy one get one free today only.
ham,I'll be there by 7pm.
ham,I’ll email the documents shortly.
ham,I'll text you the address.
ham,Can you share the slides?
ham,I'll bring snacks for the movie night.
ham,Let’s finish the project today.
spam,You have 1 unread message. Click to read.
spam,Congratulations! You’re a lucky winner of an iPad.
ham,I'll bring snacks for the movie night.
ham,Happy birthday! Hope you have a great day.
spam,Exclusive deal! Buy one get one free today only.
spam,Win a new iPhone by entering our contest.
spam,Free entry to the VIP club for today only.
spam,Claim your free reward points now!
ham,Thanks for the invite. I’ll join the meeting.
spam,Free entry to the VIP club for today only.
spam,Earn money while you sleep. Start today!
spam,This is your final notice. Pay your dues immediately.
spam,You've been pre-approved for a credit card. Apply now.
spam,You’ve been chosen for a free cruise to the Bahamas.
spam,URGENT! Update your bank details to avoid suspension.
spam,Exclusive deal! Buy one get one free today only.
ham,Call me when you reach home.
ham,Call me when you reach home.
spam,You've been pre-approved for a credit card. Apply now.
ham,Looking forward to our weekend trip!
ham,Your order has been shipped and will arrive soon.
spam,Congratulations! You’re a lucky winner of an iPad.
spam,Congratulations! You’re a lucky winner of an iPad.
spam,This message is from the IRS. Pay now or face arrest.
ham,I'll be there by 7pm.
ham,Looking forward to our weekend trip!
spam,Free entry to the VIP club for today only.
spam,This message is from the IRS. Pay now or face arrest.
spam,Free entry to the VIP club for today only.
ham,I'll be there by 7pm.
ham,I'll be there by 7pm.
ham,Don't forget to submit the assignment.
ham,Your order has been shipped and will arrive soon.
spam,Complete this survey and win rewards.
ham,Can you share the slides?
ham,Where are we meeting for lunch?
ham,Meeting postponed to 3 PM.
ham,Call me when you reach home.
spam,Complete this survey and win rewards.
spam,Exclusive deal! Buy one get one free today only.
ham,I'll be there by 7pm.
spam,URGENT! Update your bank details to avoid suspension.
spam,Complete this survey and win rewards.
ham,Your order has been shipped and will arrive soon.
ham,Let’s finish the project today.
ham,Meeting postponed to 3 PM.
spam,Your Netflix account has been suspended. Login to fix.
ham,"Hey, are we still on for tonight?"
ham,I'll be there by 7pm.
spam,"Dear user, get rich quick with our crypto system!"
ham,Don't forget to submit the assignment.
spam,URGENT! Update your bank details to avoid suspension.
ham,I'll be there by 7pm.
ham,Happy birthday! Hope you have a great day.
